curator_name,curator_url,playlist_id,playlist_name,playlist_url,followers,total_tracks,description,image_url,public,playlist_genres,genre_histogram,genre_diversity,unique_artists,avg_artist_popularity,avg_artist_followers
Indie Folk Central,https://open.spotify.com/user/ykxuknpdqe4vrfi4lrn2gb76p,04iVfsxHJljNdkebMt5rGk,"Instrumental Indie Folk: Songs for Focus, Study & Work",https://open.spotify.com/playlist/04iVfsxHJljNdkebMt5rGk,77,43,"Instrumental Indie Folk, for focus, during work hours, or just when you're chilling and daydreaming. There are no vocals, but most songs still capture 'our' typical dreamy indie folk vibe // <a href=""https://ifc.sbmt.to"">YouTube</a> // <a href=""https://ifc.sbmt.to"">Our Albums</a> // Enjoy!!",https://image-cdn-ak.spotifycdn.com/image/ab67706c0000d72cfc3ab2457b2a4b91721d3385,True,"['ambient folk', 'christian folk', 'dark ambient', 'indie folk', 'post-rock', 'space rock']","Counter({'indie folk': 23, 'christian folk': 3, 'ambient folk': 2, 'dark ambient': 2, 'post-rock': 2, 'space rock': 2})",6,35,26.46511627906977,31056.60465116279
Indie Folk Central,https://open.spotify.com/user/ykxuknpdqe4vrfi4lrn2gb76p,06yIoxCCy3mZPUmomWPvhW,Nostalgic Indie Folk • Best of All Time,https://open.spotify.com/playlist/06yIoxCCy3mZPUmomWPvhW,250,84,"This Nostalgic Indie Folk playlist got curated together with IFC followers on <a href=""https://www.instagram.com/indiefolkcentral/"">instagram</a>! ",https://image-cdn-fa.spotifycdn.com/image/ab67706c0000da84853f54d40f4222f3a4280e07,True,"['ambient folk', 'baroque pop', 'christian folk', 'folk', 'folk pop', 'indie', 'indie folk', 'indie pop', 'norwegian pop', 'singer-songwriter', 'southern gothic']","Counter({'indie folk': 39, 'folk pop': 14, 'ambient folk': 3, 'christian folk': 3, 'folk': 2, 'southern gothic': 2, 'singer-songwriter': 1, 'indie': 1, 'indie pop': 1, 'norwegian pop': 1, 'baroque pop': 1})",11,86,51.39080459770115,634803.459770115
Indie Folk Central,https://open.spotify.com/user/ykxuknpdqe4vrfi4lrn2gb76p,0HlfTcyMI2Rh91EdiKtQpL,Best Indie Folk (500 songs),https://open.spotify.com/playlist/0HlfTcyMI2Rh91EdiKtQpL,4065,500,"Best indie folk from 2016 to 2025 // This playlist will be shuffled every day!  // You can also listen to each yearly selection on <a href=""https://www.youtube.com/@indiefolkcentralMusic?sub_confirmation=1"">YouTube</a>!// <a href=""https://ifc.sbmt.to/"">More about IFC</a>! // Enjoy ❤️",https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84fe3e7638d21a604a65188d90,True,"['acoustic pop', 'alt country', 'ambient folk', 'americana', 'bluegrass', 'choral', 'christian alternative rock', 'christian folk', 'folk pop', 'future bass', 'indie folk', 'indie québécois', 'lo-fi hip hop', 'newgrass', 'norwegian pop', 'power pop', 'singer-songwriter', 'southern gothic', 'spoken word', 'surf rock']","Counter({'indie folk': 329, 'ambient folk': 21, 'folk pop': 18, 'christian folk': 12, 'acoustic pop': 9, 'southern gothic': 4, 'indie québécois': 3, 'christian alternative rock': 2, 'norwegian pop': 2, 'spoken word': 1, 'choral': 1, 'alt country': 1, 'power pop': 1, 'singer-songwriter': 1, 'lo-fi hip hop': 1, 'surf rock': 1, 'future bass': 1, 'newgrass': 1, 'bluegrass': 1, 'americana': 1})",20,330,32.020109689213896,72398.31078610603
Indie Folk Central,https://open.spotify.com/user/ykxuknpdqe4vrfi4lrn2gb76p,0NQ36ICfTJZY55ZlLhyQwn,Daily Indie Folk Discovery,https://open.spotify.com/playlist/0NQ36ICfTJZY55ZlLhyQwn,2217,50,"Daily Indie Folk Discovery: 50 tracks from IFC releases every day! <a href=""https://ifc.sbmt.to"">Click here for more!</a> Updated daily between 9–10 AM CET.",https://image-cdn-ak.spotifycdn.com/image/ab67706c0000d72c081d6de0b5dcecfc15645db9,True,"['acoustic pop', 'ambient folk', 'christian alternative rock', 'christian folk', 'folk pop', 'indie folk', 'southern gothic', 'tropical house']","Counter({'indie folk': 37, 'folk pop': 2, 'christian alternative rock': 2, 'christian folk': 2, 'tropical house': 1, 'ambient folk': 1, 'acoustic pop': 1, 'southern gothic': 1})",8,47,21.452830188679247,8425.018867924528
Indie Folk Central,https://open.spotify.com/user/ykxuknpdqe4vrfi4lrn2gb76p,0jXZsoHn0E64aFqB7atKxN,Best Indie Folk of 2017,https://open.spotify.com/playlist/0jXZsoHn0E64aFqB7atKxN,236,64,"Listen to the best indie folk of 2017, also available as a <a href=""https://youtu.be/v9zHUeq9PqI"">4 hour+ video on YouTube</a>! Check out the <a href=""https://spoti.fi/3ArwLw4"">2020</a>,  <a href=""https://spoti.fi/3lBpnrL"">2019</a> &amp; <a href=""https://spoti.fi/2XmHfy9"">2018</a> versions!",https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da8453a60da610559f875177dfb5,True,"['acoustic pop', 'alt country', 'ambient folk', 'christian folk', 'folk pop', 'indie folk', 'power pop', 'southern gothic']","Counter({'indie folk': 43, 'southern gothic': 3, 'folk pop': 3, 'christian folk': 1, 'ambient folk': 1, 'acoustic pop': 1, 'alt country': 1, 'power pop': 1})",8,53,29.560606060606062,84320.42424242424
Indie Folk Central,https://open.spotify.com/user/ykxuknpdqe4vrfi4lrn2gb76p,1JVkSKwubYEpooompWQtJm,Love Songs 2025 💕 Acoustic/Indie/Singer Songwriter,https://open.spotify.com/playlist/1JVkSKwubYEpooompWQtJm,178,62,"Celebrate love with these Acoustic,  Indie Folk and Singer Songwriter Love Songs!  Romantic and calm. Out on <a href=""https://youtu.be/mJsDep0FDF0"">YouTube</a>! Enjoy more <a href=""https://ifc.sbmt.to/"">here</a>. ",https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84a3161662d4fd732936681e28,True,"['acoustic pop', 'americana', 'bluegrass', 'christian folk', 'folk pop', 'indie folk', 'newgrass']","Counter({'indie folk': 40, 'folk pop': 6, 'christian folk': 3, 'acoustic pop': 2, 'newgrass': 1, 'bluegrass': 1, 'americana': 1})",7,64,35.93150684931507,91095.94520547944
Indie Folk Central,https://open.spotify.com/user/ykxuknpdqe4vrfi4lrn2gb76p,2KSvOe4MWxhA60ylNxN0s5,All albums of Indie Folk Central,https://open.spotify.com/playlist/2KSvOe4MWxhA60ylNxN0s5,1591,1016,"Enjoy the best indie folk. Starts with latest albums mixed with all-time favorites ✨ followed by all songs from our albums in chronical order! // <a href=""https://ifc.sbmt.to/"">Click here for more about IFC</a>!  ",https://image-cdn-ak.spotifycdn.com/image/ab67706c0000d72c1106ebaf1206a86f4536bbd6,True,"['acoustic pop', 'alt country', 'ambient folk', 'anti-folk', 'baroque pop', 'blues rock', 'celtic', 'chillstep', 'christian alternative rock', 'christian country', 'christian folk', 'deep house', 'drone', 'folk pop', 'indie folk', 'indie r&b', 'jam band', 'jazz funk', 'latin indie', 'lo-fi indie', 'modern blues', 'norwegian pop', 'pop soul', 'post-rock', 'sea shanties', 'southern gothic', 'space rock', 'stutter house', 'surf rock', 'tropical house', 'worship', 'yacht rock']","Counter({'indie folk': 738, 'christian folk': 79, 'folk pop': 36, 'ambient folk': 19, 'acoustic pop': 13, 'christian alternative rock': 11, 'southern gothic': 5, 'tropical house': 5, 'norwegian pop': 3, 'christian country': 2, 'post-rock': 2, 'space rock': 2, 'stutter house': 2, 'modern blues': 2, 'indie r&b': 1, 'latin indie': 1, 'celtic': 1, 'sea shanties': 1, 'drone': 1, 'jazz funk': 1, 'pop soul': 1, 'jam band': 1, 'worship': 1, 'baroque pop': 1, 'surf rock': 1, 'chillstep': 1, 'alt country': 1, 'yacht rock': 1, 'lo-fi indie': 1, 'anti-folk': 1, 'deep house': 1, 'blues rock': 1})",32,533,21.717879604672056,7847.061994609165
Indie Folk Central,https://open.spotify.com/user/ykxuknpdqe4vrfi4lrn2gb76p,2MsGtroclirkNnI6snEoxk,Indie Folk 2025 ✨,https://open.spotify.com/playlist/2MsGtroclirkNnI6snEoxk,58369,100,"Discover the Best and Latest indie folk, acoustic and singer-songwriter songs! // <a href=""https://ifc.sbmt.to"">YouTube</a> // <a href=""https://ifc.sbmt.to"">Our Albums</a> // For song submissions <a href=""https://sbmt.to/indiefolkcentral"">go here</a> :) Enjoy",https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da84927b47602d789a9157575b0a,True,"['acoustic pop', 'ambient folk', 'christian alternative rock', 'christian folk', 'folk pop', 'indie folk', 'indie québécois', 'norwegian pop']","Counter({'indie folk': 72, 'christian folk': 7, 'folk pop': 6, 'christian alternative rock': 1, 'acoustic pop': 1, 'indie québécois': 1, 'ambient folk': 1, 'norwegian pop': 1})",8,85,43.424778761061944,111024.08849557524
Indie Folk Central,https://open.spotify.com/user/ykxuknpdqe4vrfi4lrn2gb76p,2fJc0W0wHHiA5XKdljFSEG,Best Indie Folk of 2024,https://open.spotify.com/playlist/2fJc0W0wHHiA5XKdljFSEG,413,152,"Enjoy the best indie folk of 2024! Four volumes, over 150 tracks, on <a href=""https://www.youtube.com/@indiefolkcentralMusic?sub_confirmation=1"">YouTube</a> |  Click <a href=""https://sbmt.to/l/ifc"">here</a> to discover the best new indie folk.",https://image-cdn-ak.spotifycdn.com/image/ab67706c0000d72c4b54d513fd8f3e6313be7f94,True,"['acoustic pop', 'ambient folk', 'celtic', 'christian alternative rock', 'christian folk', 'folk pop', 'indie folk', 'indie québécois', 'soft pop', 'swedish pop', 'tropical house']","Counter({'indie folk': 108, 'folk pop': 15, 'christian folk': 10, 'ambient folk': 5, 'acoustic pop': 3, 'indie québécois': 2, 'swedish pop': 2, 'tropical house': 1, 'christian alternative rock': 1, 'celtic': 1, 'soft pop': 1})",11,131,38.295698924731184,82461.53225806452
Indie Folk Central,https://open.spotify.com/user/ykxuknpdqe4vrfi4lrn2gb76p,2m99TSycXuo80UBQpFb4YU,Sad Folk,https://open.spotify.com/playlist/2m99TSycXuo80UBQpFb4YU,1177,121,"A sad songs playlist, with acoustic, indie folk &amp; singer-songwriter tracks. // <a href=""https://ifc.sbmt.to/"">More about IFC</a>! ",https://image-cdn-ak.spotifycdn.com/image/ab67706c0000da842b0b30dc336783a8e8262f6e,True,"['acoustic pop', 'ambient folk', 'anti-folk', 'art pop', 'christian folk', 'drum and bass', 'folk pop', 'german indie pop', 'indie folk', 'liquid funk', 'lo-fi', 'lo-fi beats', 'lo-fi indie', 'neo-psychedelic', 'surf rock']","Counter({'indie folk': 50, 'christian folk': 7, 'folk pop': 4, 'german indie pop': 2, 'acoustic pop': 1, 'liquid funk': 1, 'drum and bass': 1, 'lo-fi indie': 1, 'surf rock': 1, 'lo-fi': 1, 'lo-fi beats': 1, 'anti-folk': 1, 'neo-psychedelic': 1, 'art pop': 1, 'ambient folk': 1})",15,110,24.1328125,10754.578125
