playlist_name,primary_genre,sub_genres,track_count,last_updated,musinique_focus_score,avg_artist_popularity
OPERA FOR COOKING 🎭 ,"['Classical', 'Electronic', 'Pop', 'Regional', 'Traditional Folk']","['ballet', 'canzone napoletana', 'christmas', 'classical', 'classical crossover', 'musicals', 'musique concrète', 'opera', 'orchestral', 'villancicos']",16,2020-09-01T11:12:01Z,26.5,49.73529411764706
CURRENT WORSHIP🙏,"['Electronic', 'Folk', 'Hip Hop', 'Pop', 'R&B & Soul', 'Religious']","['afrogospel', 'ccm', 'cedm', 'christian', 'christian alternative rock', 'christian folk', 'christian hip hop', 'christian jazz', 'christian lo-fi', 'christian pop', 'christian r&b', 'country christian', 'gospel', 'hymns', 'motown', 'pop worship', 'spoken word', 'worship']",67,2025-12-18T09:45:29Z,30.1,47.475
BEACH BAR  (APRÈS SURF ) 🎷,"['Easy Listening', 'Electronic', 'Hip Hop', 'Pop', 'R&B & Soul', 'Regional']","['3 step', 'afro house', 'afro r&b', 'afro soul', 'afro tech', 'afrobeat', 'afrobeats', 'afropiano', 'afropop', 'afroswing', 'alté', 'amapiano', 'azonto', 'big beat', 'breakbeat', 'classic soul', 'dancehall', 'deep house', 'disco house', 'drum and bass', 'edm', 'electronica', 'eurodance', 'french house', 'french indie pop', 'funky house', 'future bass', 'future house', 'g-house', 'german pop', 'gqom', 'hard house', 'hiplife', 'house', 'idm', 'italo dance', 'jazz house', 'liquid funk', 'lo-fi house', 'lounge', 'melodic house', 'melodic rap', 'moombahton', 'motown', 'northern soul', 'nu disco', 'organic house', 'private school piano', 'progressive house', 'quiet storm', 'r&b', 'ragga', 'rap', 'reggae', 'riddim', 'roots reggae', 'soca', 'soul', 'stutter house', 'tech house', 'trap', 'tribal house', 'trip hop', 'tropical house', 'uk funky', 'uk garage']",137,2025-12-03T19:49:21Z,31.5,53.23620309050773
All Time Favourites ✨,"['Blues', 'Easy Listening', 'Folk', 'Jazz', 'Pop', 'R&B & Soul', 'Regional', 'Religious', 'Rock', 'Traditional Folk']","['adult standards', 'art pop', 'art rock', 'baroque pop', 'blues', 'calypso', 'classic rock', 'classic soul', 'classical crossover', 'easy listening', 'exotica', 'folk', 'folk rock', 'gregorian chant', 'indie folk', 'jazz', 'motown', 'new age', 'northern soul', 'quiet storm', 'reggae', 'rocksteady', 'sea shanties', 'singer-songwriter', 'ska', 'soft rock', 'soul', 'soul blues', 'soul jazz', 'traditional folk', 'variété française', 'vocal jazz', 'yacht rock']",24,2025-10-02T11:11:10Z,28.9,67.52380952380952
CHRISTMAS DAY 2025 🎄,"['Classical', 'Easy Listening', 'Electronic', 'Folk', 'Jazz', 'Metal', 'Pop', 'Punk', 'R&B & Soul', 'Regional', 'Rock', 'Traditional Folk']","['adult standards', 'art rock', 'ballet', 'baroque pop', 'big band', 'bolero', 'celtic', 'celtic punk', 'celtic rock', 'christmas', 'classic soul', 'classical', 'disco', 'doo-wop', 'folk punk', 'glam metal', 'glam rock', 'hi-nrg', 'jazz', 'motown', 'new age', 'opera', 'orchestral', 'pop', 'progressive rock', 'r&b', 'rock and roll', 'rockabilly', 'soft pop', 'soft rock', 'soul', 'swing music', 'synthpop', 'villancicos', 'vocal jazz']",63,2024-12-23T08:41:57Z,16.5,73.27272727272727
CAROLS BY CANDLELIGHT 🕯️,"['Classical', 'Pop', 'Religious', 'Traditional Folk']","['ballet', 'baroque', 'bhajan', 'catholic music', 'chamber music', 'choral', 'christmas', 'classical', 'classical crossover', 'classical piano', 'concerto', 'devotional', 'early music', 'gregorian chant', 'hymns', 'medieval', 'opera', 'orchestral', 'renaissance', 'villancicos']",52,2025-12-09T12:42:35Z,32.3,49.13669064748201
SUMMER BBQ PARTY 🍍,"['Easy Listening', 'Electronic', 'Hip Hop', 'Pop', 'R&B & Soul', 'Regional']","['3 step', 'afro house', 'afro r&b', 'afro soul', 'afro tech', 'afrobeat', 'afrobeats', 'afropiano', 'afropop', 'afroswing', 'alté', 'amapiano', 'azonto', 'big beat', 'breakbeat', 'classic soul', 'dancehall', 'deep house', 'disco house', 'drum and bass', 'edm', 'electronica', 'eurodance', 'french house', 'funky house', 'future bass', 'future house', 'g-house', 'german pop', 'gqom', 'hard house', 'hiplife', 'house', 'idm', 'italo dance', 'jazz house', 'jungle', 'latin house', 'liquid funk', 'lo-fi house', 'lounge', 'melodic house', 'melodic rap', 'moombahton', 'motown', 'northern soul', 'nu disco', 'organic house', 'pop', 'private school piano', 'progressive house', 'quiet storm', 'r&b', 'ragga', 'rap', 'reggae', 'riddim', 'soca', 'soul', 'stutter house', 'tech house', 'techengue', 'trap', 'tribal house', 'trip hop', 'tropical house', 'uk funky', 'uk garage']",134,2025-04-22T14:12:29Z,31.3,53.32747252747253
SOULFUL DINNER 🍴 (Smoth Funk and Soul),"['Avant-garde', 'Blues', 'Electronic', 'Folk', 'Hip Hop', 'Jazz', 'Pop', 'R&B & Soul', 'Regional', 'Religious', 'Rock']","['acid jazz', 'alternative r&b', 'aor', 'bedroom pop', 'blues rock', 'britpop', 'ccm', 'christian', 'christian alternative rock', 'christian folk', 'christian hip hop', 'christian jazz', 'christian lo-fi', 'christian pop', 'christian r&b', 'classic soul', 'contemporary r&b', 'east coast hip hop', 'funk', 'gospel', 'hymns', 'indie pop', 'indie r&b', 'indie soul', 'jazz beats', 'jazz funk', 'jazz fusion', 'jazz rap', 'lo-fi', 'lo-fi beats', 'lo-fi hip hop', 'lo-fi house', 'modern blues', 'motown', 'neo soul', 'northern soul', 'nu disco', 'quiet storm', 'retro pop', 'retro soul', 'smooth jazz', 'soft rock', 'soul', 'soul blues', 'soul jazz', 'trip hop', 'uk r&b', 'variété française', 'vocal jazz', 'worship', 'yacht rock']",108,2025-04-22T14:49:58Z,19.3,48.25806451612903
LATE NIGHT JAZZ (Slow) 🍷  ,"['Classical', 'Easy Listening', 'Folk', 'Jazz', 'Pop', 'R&B & Soul', 'Regional', 'Rock', 'Traditional Folk']","['adult standards', 'ballet', 'bebop', 'big band', 'bossa nova', 'brazilian jazz', 'christmas', 'classic rock', 'classical', 'contemporary r&b', 'cool jazz', 'experimental jazz', 'folk', 'folk rock', 'free jazz', 'french jazz', 'hard bop', 'indie jazz', 'jazz', 'jazz ballads', 'jazz fusion', 'jazz pop', 'latin jazz', 'neo soul', 'nu jazz', 'orchestral', 'r&b', 'ragtime', 'retro soul', 'singer-songwriter', 'smooth jazz', 'soft rock', 'soul jazz', 'swing music', 'uk r&b', 'vocal jazz', 'yacht rock']",46,2024-08-08T14:00:27Z,19.7,54.96774193548387
A CLASSY AFFAIR🌹 ,"['Blues', 'Easy Listening', 'Folk', 'Jazz', 'Pop', 'R&B & Soul', 'Regional', 'Rock', 'Traditional Folk']","['adult standards', 'bebop', 'big band', 'blues', 'christmas', 'classic soul', 'cool jazz', 'folk', 'folk rock', 'hard bop', 'jazz', 'jazz ballads', 'jazz pop', 'motown', 'neo soul', 'power pop', 'ragtime', 'rock and roll', 'rockabilly', 'singer-songwriter', 'soft pop', 'soft rock', 'soul', 'soul blues', 'soul jazz', 'swing music', 'vocal jazz']",58,2024-11-07T11:54:32Z,30.1,65.6144578313253
INDIE FOLK  & COUNTRY CHRISTIAN 🌱 ,"['Electronic', 'Folk', 'Hip Hop', 'Pop', 'Religious', 'Rock']","['catholic music', 'ccm', 'cedm', 'christian', 'christian alternative rock', 'christian folk', 'christian jazz', 'christian lo-fi', 'christian pop', 'christian r&b', 'christian rock', 'country christian', 'folk pop', 'hymns', 'indie folk', 'norwegian pop', 'pop worship', 'spoken word', 'worship']",97,2025-12-04T12:06:53Z,37.3,45.13966480446928
MULLED WINE & CHILL (ACOUSTIC CHRISTMAS) 🍷 ,"['Electronic', 'Folk', 'Pop', 'R&B & Soul', 'Religious', 'Rock', 'Traditional Folk']","['acoustic pop', 'art pop', 'ccm', 'christian', 'christian alternative rock', 'christian folk', 'christian pop', 'christian rock', 'christmas', 'folk pop', 'gospel', 'hymns', 'indie folk', 'jazz pop', 'neo soul', 'norwegian pop', 'pop worship', 'synthpop', 'worship']",54,2025-12-14T08:22:58Z,29.0,55.026315789473685
"THE DIVINE (Sacred, Classical Mysterium)","['Classical', 'Easy Listening', 'Folk', 'Pop', 'Religious', 'Rock', 'Traditional Folk']","['baroque', 'celtic', 'celtic rock', 'chamber music', 'choral', 'christmas', 'classical', 'classical crossover', 'classical piano', 'concerto', 'contemporary classical', 'early music', 'folk', 'gregorian chant', 'hymns', 'impressionism', 'medieval', 'minimalism', 'neoclassical', 'new age', 'opera', 'orchestral', 'renaissance', 'score', 'soundtrack', 'traditional folk']",37,2023-02-03T09:28:51Z,22.8,39.28333333333333
80s LOVE SONGS,"['Blues', 'Easy Listening', 'Electronic', 'Jazz', 'Pop', 'R&B & Soul', 'Rock', 'Traditional Folk']","['adult standards', 'aor', 'art rock', 'blues', 'blues rock', 'christmas', 'classic rock', 'classic soul', 'disco', 'funk', 'glam rock', 'hi-nrg', 'italo dance', 'italo disco', 'jazz', 'jazz funk', 'jazz fusion', 'motown', 'new wave', 'philly soul', 'power pop', 'progressive rock', 'quiet storm', 'smooth jazz', 'soft rock', 'soul', 'soul jazz', 'synthpop', 'yacht rock']",45,2025-04-17T11:13:19Z,21.3,65.6
NIGHT OWLS 🌠 (Synthy & Moody),"['Classical', 'Electronic', 'Folk', 'Hip Hop', 'Pop', 'R&B & Soul', 'Regional', 'Religious', 'Rock']","['3 step', 'afro house', 'afro soul', 'afro tech', 'afrogospel', 'alternative r&b', 'ambient', 'art rock', 'baroque pop', 'ccm', 'chillstep', 'christian', 'christian jazz', 'christian lo-fi', 'christian pop', 'christian r&b', 'classic rock', 'deep house', 'downtempo', 'dream pop', 'drone', 'drum and bass', 'folk pop', 'garage rock', 'house', 'indie', 'indie folk', 'indie soul', 'liquid funk', 'neo soul', 'neo-psychedelic', 'neoclassical', 'nu disco', 'pop worship', 'post-rock', 'progressive rock', 'progressive trance', 'psychedelic rock', 'retro soul', 'rock', 'space music', 'tribal house', 'trip hop', 'uk funky', 'uk r&b', 'worship']",87,2025-03-13T15:51:38Z,26.5,55.0551724137931
FEEL BETTER  💐 ,"['Easy Listening', 'Electronic', 'Folk', 'Hip Hop', 'Pop', 'R&B & Soul', 'Religious', 'Rock', 'Traditional Folk']","['acoustic pop', 'aor', 'baroque pop', 'bedroom pop', 'ccm', ""children's music"", 'christian', 'christian hip hop', 'christian lo-fi', 'christian pop', 'christian r&b', 'christmas', 'folk pop', 'indie', 'indie folk', 'indie rock', 'pop', 'singer-songwriter', 'soft pop', 'surf rock', 'uk r&b', 'worship', 'yacht rock']",63,2025-03-14T10:23:28Z,25.0,62.40476190476191
HIPSTER COFFEE HOUSE ☕ ,"['Avant-garde', 'Electronic', 'Hip Hop', 'Jazz', 'R&B & Soul', 'Regional']","['acid jazz', 'alternative r&b', 'chillstep', 'downtempo', 'electro swing', 'experimental jazz', 'idm', 'indie jazz', 'indie soul', 'jazz', 'jazz beats', 'jazz fusion', 'jazz house', 'jazz rap', 'lo-fi', 'lo-fi beats', 'lo-fi hip hop', 'lo-fi house', 'neo soul', 'nu jazz', 'nz reggae', 'pinoy indie', 'pinoy r&b', 'plunderphonics', 'retro soul', 'trip hop', 'vaporwave']",118,2025-07-03T13:46:22Z,40.6,40.87096774193548
VIBEY CHRISTIAN CHILL-OUT 🌴,"['Electronic', 'Folk', 'Hip Hop', 'Jazz', 'Pop', 'R&B & Soul', 'Regional', 'Religious', 'Rock']","['3 step', 'afro house', 'afro soul', 'afro tech', 'afrobeat', 'afrobeats', 'afrogospel', 'afropop', 'alternative r&b', 'amapiano', 'baroque pop', 'ccm', 'cedm', 'chinese hip hop', 'christian', 'christian alternative rock', 'christian folk', 'christian hip hop', 'christian jazz', 'christian lo-fi', 'christian pop', 'christian r&b', 'christian reggae', 'christian rock', 'folk pop', 'gospel', 'gqom', 'hymns', 'motown', 'neo soul', 'pop worship', 'private school piano', 'r&b', 'rap chrétien', 'retro pop', 'retro soul', 'soul jazz', 'spoken word', 'uk r&b', 'worship']",154,2025-12-04T10:01:31Z,28.5,45.93092105263158
HAPPY SONGS 🎈 ,"['Blues', 'Country', 'Electronic', 'Folk', 'Hip Hop', 'Jazz', 'Pop', 'R&B & Soul', 'Regional', 'Rock', 'Traditional Folk']","['anti-folk', 'art rock', 'blues', 'britpop', 'christmas', 'classic country', 'classic rock', 'classic soul', 'country', 'dansk pop', 'disco', 'disco house', 'doo-wop', 'east coast hip hop', 'eurodance', 'folk rock', 'french house', 'funk', 'glam rock', 'hi-nrg', 'hip hop', 'indie', 'indie rock', 'italo disco', 'jam band', 'jangle pop', 'jazz', 'motown', 'new wave', 'northern soul', 'nu disco', 'old school hip hop', 'philly soul', 'pop', 'post-disco', 'psychedelic rock', 'quiet storm', 'reggae', 'rock', 'rocksteady', 'roots reggae', 'singer-songwriter', 'soft rock', 'soul', 'soul jazz', 'southern hip hop', 'synthpop', 'vocal jazz', 'yacht rock']",95,2025-10-31T10:24:19Z,21.9,66.77659574468085
WORSHIP FOR SOAKING 💛,"['Electronic', 'Folk', 'Hip Hop', 'Pop', 'Religious']","['afrogospel', 'ambient', 'ccm', 'cedm', 'christian', 'christian alternative rock', 'christian folk', 'christian lo-fi', 'christian pop', 'christian r&b', 'country christian', 'gospel', 'pop worship', 'space music', 'spoken word', 'worship']",50,2025-11-19T17:53:12Z,30.7,49.96875
BOHO FOLK-ROCK-COUNTRY-BLUES 🌻 ,"['Blues', 'Country', 'Folk', 'Pop', 'R&B & Soul', 'Rock']","['acid rock', 'alt country', 'americana', 'art pop', 'art rock', 'baroque pop', 'blues', 'blues rock', 'christian folk', 'classic country', 'classic rock', 'country', 'country rock', 'folk', 'folk pop', 'folk rock', 'garage rock', 'indie', 'indie folk', 'jam band', 'modern blues', 'neo-psychedelic', 'progressive rock', 'proto-punk', 'psychedelic rock', 'retro soul', 'rock', 'roots rock', 'singer-songwriter', 'soft rock', 'southern rock', 'surf rock', 'yacht rock']",90,2025-07-01T08:17:39Z,41.9,62.4609375
MOTOWN & CLASSIC SOUL,"['Blues', 'R&B & Soul', 'Traditional Folk']","['christmas', 'classic soul', 'disco', 'doo-wop', 'funk', 'motown', 'northern soul', 'philly soul', 'quiet storm', 'soul', 'soul blues']",64,2023-05-09T15:42:16Z,51.7,63.604651162790695
SASS👑 ,"['Electronic', 'Hip Hop', 'Pop', 'R&B & Soul', 'Regional', 'Traditional Folk']","['christmas', 'crunk', 'dancehall', 'east coast hip hop', 'g-funk', 'gangster rap', 'hardcore hip hop', 'hip hop', 'latin', 'neo soul', 'new jack swing', 'old school hip hop', 'r&b', 'rap', 'reggaeton', 'soft pop', 'southern hip hop', 'trap latino', 'uk garage', 'urbano latino', 'west coast hip hop']",44,2024-08-06T13:32:04Z,25.3,73.2375
CALM (Ambient and Ethereal) ✰,"['Classical', 'Electronic', 'Folk', 'Jazz', 'Pop', 'Religious', 'Rock']","['ambient', 'ambient folk', 'ambient jazz', 'art pop', 'ccm', 'choral', 'christian', 'christian folk', 'classical', 'contemporary classical', 'downtempo', 'dream pop', 'drone', 'experimental jazz', 'gospel', 'indie folk', 'indie jazz', 'japanese classical', 'jazz', 'jazz fusion', 'minimalism', 'neoclassical', 'norwegian pop', 'nu jazz', 'organic house', 'pop worship', 'post-rock', 'score', 'slowcore', 'space music', 'worship']",102,2025-09-24T11:04:51Z,32.4,47.8
HTB London 2025 (Holy Trinity Brompton),"['Electronic', 'Folk', 'Hip Hop', 'Pop', 'Religious', 'Rock']","['afrogospel', 'ccm', 'cedm', 'christian', 'christian alternative rock', 'christian folk', 'christian jazz', 'christian lo-fi', 'christian pop', 'christian r&b', 'christian reggaeton', 'christian rock', 'comedy', 'country christian', 'gospel', 'hymns', 'pop worship', 'spoken word', 'worship']",209,2025-12-19T07:55:12Z,45.6,57.11111111111112
INDIE FOLK (Chilled)🌾 ,"['Country', 'Electronic', 'Folk', 'Pop', 'Religious', 'Rock']","['acoustic pop', 'alt country', 'ambient folk', 'americana', 'bluegrass', 'ccm', 'chanson', 'christian', 'christian alternative rock', 'christian folk', 'christian lo-fi', 'christian pop', 'downtempo', 'folk', 'folk pop', 'folk rock', 'french pop', 'future bass', 'indie folk', 'newgrass', 'roots rock', 'singer-songwriter', 'soft pop', 'southern gothic', 'variété française', 'worship']",193,2025-10-31T11:16:27Z,50.4,53.32258064516129
CONTEMPORARY GOSPEL & SOUL 🎤,"['Electronic', 'Hip Hop', 'Pop', 'R&B & Soul', 'Religious', 'Traditional Folk']","['afrogospel', 'ccm', 'christian', 'christian hip hop', 'christian jazz', 'christian pop', 'christian r&b', 'christmas', 'country christian', 'ebm', 'gospel', 'hymns', 'industrial', 'new jack swing', 'pop worship', 'quiet storm', 'r&b', 'synthpop', 'traditional gospel', 'worship']",54,2025-12-18T09:45:34Z,27.3,51.30952380952381
MORNING SUNSHINE 🌞,"['Folk', 'Jazz', 'Pop', 'R&B & Soul', 'Regional', 'Religious', 'Rock']","['acid jazz', 'britpop', 'classic rock', 'folk pop', 'funk', 'gospel', 'indie folk', 'jangle pop', 'jazz funk', 'jazz pop', 'new jack swing', 'psychedelic rock', 'reggae', 'retro pop', 'retro soul', 'rock', 'rocksteady', 'roots reggae', 'soft rock', 'yacht rock']",54,2025-10-31T11:03:50Z,31.6,62.88235294117647
